,Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
86,Bike09,1920,tld,0.4,0.1,0.3919,0.1475,0.1475,0.1147,0.8833,0.0317,0,0,1,0.04,0.85,4.15,97,289,50,0,0,339,437.0,339
87,Bike09,1920,medianflow,0.4,0.1,0.3512,0.1976,0.1976,0.1846,0.6773,0.1425,0,1,0,0.22,0.8,27.8,71,225,67,47,26,339,437.0,292
88,Bike09,1920,goturn,0.4,0.1,0.1144,0.6903,0.6903,0.5367,0.4622,0.4073,0,1,0,0.6,0.31,9.99,97,105,234,0,0,339,437.0,339
89,Bike09,1920,mosse,0.4,0.1,0.2091,0.59,0.59,0.578,0.3341,0.3017,0,1,0,0.41,0.41,31.84,50,96,200,43,47,339,437.0,296
90,Bike09,1920,csrt,0.4,0.1,0.0177,0.4218,0.4218,0.9286,0.0252,0.6471,1,0,0,0.95,0.58,16.67,11,0,143,196,86,339,437.0,143
91,Bike08,1280,mil,0.4,0.1,0.0274,1.0,1.0,0.9964,0.0036,0.37,0,1,0,0.33,0.0,15.07,2,0,556,0,0,556,559.0,556
92,Bike08,1280,kcf,0.4,0.1,0.0112,0.2914,0.2914,1.0,0.0,0.6444,1,0,0,0.98,0.71,39.2,0,0,162,394,2,556,559.0,162
93,Bike08,1280,tld,0.4,0.1,0.0399,0.9784,0.9784,0.9749,0.025,0.5377,1,0,0,0.86,0.02,13.23,2,12,544,0,0,556,559.0,556
94,Bike08,1280,medianflow,0.4,0.1,0.2972,0.2212,0.2212,0.2204,0.7782,0.106,0,0,1,0.12,0.78,49.49,2,433,123,0,0,556,559.0,556
95,Bike08,1280,goturn,0.4,0.1,0.5142,0.0126,0.0126,0.0125,0.9857,0.0042,0,0,1,0.0,0.99,14.16,2,549,7,0,0,556,559.0,556
96,Bike08,1280,mosse,0.4,0.1,0.0142,1.0,1.0,0.9964,0.0036,0.4193,0,1,0,0.44,0.0,56.17,2,0,556,0,0,556,559.0,556
97,Bike08,1280,csrt,0.4,0.1,0.0132,1.0,1.0,0.9964,0.0036,0.6299,1,0,0,0.95,0.0,19.31,2,0,556,0,0,556,559.0,556
98,Bike09,1280,mil,0.4,0.1,0.2968,0.4071,0.4071,0.3165,0.6819,0.1922,0,1,0,0.32,0.59,14.21,97,201,138,0,0,339,437.0,339
99,Bike09,1280,kcf,0.4,0.1,0.0114,0.0324,0.0324,1.0,0.0,0.6421,1,0,0,1.0,0.97,42.61,0,0,11,328,97,339,437.0,11
100,Bike09,1280,tld,0.4,0.1,0.3888,0.177,0.177,0.1376,0.8604,0.0552,0,0,1,0.07,0.82,9.72,97,279,60,0,0,339,437.0,339
